Film	Race	totalWords
The Fellowship Of The Ring	Orc	27
The Fellowship Of The Ring	Dwarf	431
The Fellowship Of The Ring	Elf	2200
The Fellowship Of The Ring	Wizard	2881
The Fellowship Of The Ring	Man	1995
The Fellowship Of The Ring	Hobbit	3658
The Two Towers	Orc	230
The Two Towers	Dwarf	521
The Two Towers	Elf	844
The Two Towers	Wizard	1273
The Two Towers	Man	3990
The Two Towers	Hobbit	2463
The Return Of The King	Orc	466
The Return Of The King	Dwarf	313
The Return Of The King	Elf	693
The Return Of The King	Wizard	1807
The Return Of The King	Man	2727
The Return Of The King	Hobbit	2675
